record_id,client_public,project_title_public,person_id,role_public,proof_bucket,evidence_layer,evidence_score,proof_public_label_v10,visibility_policy,company_record_allowed,key_personnel_record_allowed,allowed_contexts,canonical_ministry,ministry_family,evaluation_group,primary_theme,theme_buckets_kr,themes_raw,problem_archetypes,institution_classes,function_models,representative_score_base_v7,representative_priority,hero_tags,appeal_triggers,homepage_badges,hide_year_by_default,hide_amount_by_default,hide_previous_company_by_default,safe_display_rule_v10,rfp_search_text,safe_claim_templates,forbidden_claims
TR-001,강원도개발공사,2022 중장기 경영전략 및 조직진단 용역,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"['proposal_key_personnel_record', 'person_card', 'methodology_context']",지방자치단체,지방행정·지방공기업·지역정책,local_public_enterprise_or_facility_management_group,strategy,"['전략수립', '조직진단·조직재설계']","['organization_design', 'strategy']","['mid_long_term_strategy', 'organization_diagnosis_redesign']",['urban_development_housing_corporation'],"['housing', 'land_development', 'regional_development', 'urban_development']",63,strong,"['evaluation_group_sortable', 'official_personal_PM_proof', 'strategy_to_organization_integrated', 'urban_development_corporation']","['buyer_risk_reduction', 'category_fluency', 'domain_specific_confidence', 'evaluation_group_similarity', 'expertise_proof_personal_pm_certificate', 'person_level_trust', 'problem_similarity_bias', 'scarcity_of_domain_experience', 'sein_sollen_integrated_design', 'systemic_problem_solving']","['대표 PM 공식증빙 가능', '도시·개발공사', '전략수립', '조직재설계', '지방공기업', '지방자치단체']",True,True,True,hide_year_amount_prior_firm; separate company/person/formerCEO/context evidence layers; do not infer causality from impact metrics,강원도개발공사 2022 중장기 경영전략 및 조직진단 용역 지방자치단체 지방행정·지방공기업·지역정책 strategy organization_design|strategy mid_long_term_strategy|organization_diagnosis_redesign urban_development_housing_corporation housing|land_development|regional_development|urban_development local_public_enterprise_or_facility_management_group 대표 PM 공식증빙 가능|도시·개발공사|전략수립|조직재설계|지방공기업|지방자치단체,"{'homepage': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'proposal': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'person_card': '김정성 대표컨설턴트 관련 수행경험'}","['㈜STRATEGY 회사실적으로 단정', '이전 회사명 노출', '연도/금액 기본 노출', '예산증가/정원증가 인과 단정']"
TR-002,도화엔지니어링,경상북도 지역균형발전을 위한 마스터플랜 수립 및 신사업발굴 용역 / 중장기경영전략(경영환경),kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"['proposal_key_personnel_record', 'person_card', 'methodology_context']",지방자치단체,지방행정·지방공기업·지역정책,non_public_private_reference,strategy,"['전략수립', '조직진단·조직재설계']","['organization_design', 'strategy']","['mid_long_term_strategy', 'new_business_and_policy_response', 'policy_response_new_business']",['private_corporate_or_platform'],"['corporate_hr', 'platform_business', 'private_strategy']",48,supporting,"['evaluation_group_sortable', 'official_personal_PM_proof', 'strategy_to_organization_integrated']","['buyer_risk_reduction', 'category_fluency', 'evaluation_group_similarity', 'expertise_proof_personal_pm_certificate', 'person_level_trust', 'problem_similarity_bias', 'sein_sollen_integrated_design', 'systemic_problem_solving']","['대표 PM 공식증빙 가능', '민간기업/플랫폼 참고실적', '전략수립', '조직재설계', '지방자치단체']",True,True,True,hide_year_amount_prior_firm; separate company/person/formerCEO/context evidence layers; do not infer causality from impact metrics,도화엔지니어링 경상북도 지역균형발전을 위한 마스터플랜 수립 및 신사업발굴 용역 / 중장기경영전략(경영환경) 지방자치단체 지방행정·지방공기업·지역정책 strategy organization_design|strategy mid_long_term_strategy|new_business_and_policy_response|policy_response_new_business private_corporate_or_platform corporate_hr|platform_business|private_strategy non_public_private_reference 대표 PM 공식증빙 가능|민간기업/플랫폼 참고실적|전략수립|조직재설계|지방자치단체,"{'homepage': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'proposal': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'person_card': '김정성 대표컨설턴트 관련 수행경험'}","['㈜STRATEGY 회사실적으로 단정', '이전 회사명 노출', '연도/금액 기본 노출', '예산증가/정원증가 인과 단정']"
TR-003,신용보증기금,뉴 비전체계 수립,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"['proposal_key_personnel_record', 'person_card', 'methodology_context']",기획재정부,재정·공공기관·정책금융,central_quasi_government_or_public_agency_group,strategy,['전략수립'],['strategy'],"['mid_long_term_strategy', 'vision_mission_value_system']",['policy_finance_guarantee_institution'],"['credit_support', 'funding', 'guarantee', 'policy_finance']",53,supporting,"['central_policy_context', 'evaluation_group_sortable', 'official_personal_PM_proof', 'policy_guarantee_finance']","['authority_halo', 'buyer_risk_reduction', 'category_fluency', 'domain_specific_confidence', 'evaluation_group_similarity', 'expertise_proof_personal_pm_certificate', 'person_level_trust', 'problem_similarity_bias', 'recognizable_anchor_institution', 'scarcity_of_domain_experience']","['기획재정부', '대표 PM 공식증빙 가능', '전략수립', '정책금융·보증', '준정부기관']",True,True,True,hide_year_amount_prior_firm; separate company/person/formerCEO/context evidence layers; do not infer causality from impact metrics,신용보증기금 뉴 비전체계 수립 기획재정부 재정·공공기관·정책금융 strategy strategy mid_long_term_strategy|vision_mission_value_system policy_finance_guarantee_institution credit_support|funding|guarantee|policy_finance central_quasi_government_or_public_agency_group 기획재정부|대표 PM 공식증빙 가능|전략수립|정책금융·보증|준정부기관,"{'homepage': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'proposal': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'person_card': '김정성 대표컨설턴트 관련 수행경험'}","['㈜STRATEGY 회사실적으로 단정', '이전 회사명 노출', '연도/금액 기본 노출', '예산증가/정원증가 인과 단정']"
TR-004,한국지역정보개발원,합리적 보수 운영 체계 설계,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"['proposal_key_personnel_record', 'person_card', 'methodology_context']",국토교통부,국토·SOC·교통·도시,evaluation_group_unclassified,hr_system,['직무·HR·보수체계'],['hr_system'],"['compensation_system', 'job_based_hr_and_compensation']",['promotion_agency'],[],56,strong,"['central_policy_context', 'hr_system_proof', 'official_personal_PM_proof', 'repeat_anchor_client']","['expertise_proof_personal_pm_certificate', 'person_level_trust']","['국토교통부', '대표 PM 공식증빙 가능', '인사관리']",True,True,True,hide_year_amount_prior_firm; separate company/person/formerCEO/context evidence layers; do not infer causality from impact metrics,한국지역정보개발원 합리적 보수 운영 체계 설계 국토교통부 국토·SOC·교통·도시 hr_system hr_system compensation_system|job_based_hr_and_compensation promotion_agency evaluation_group_unclassified 국토교통부|대표 PM 공식증빙 가능|인사관리,"{'homepage': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'proposal': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'person_card': '김정성 대표컨설턴트 관련 수행경험'}","['㈜STRATEGY 회사실적으로 단정', '이전 회사명 노출', '연도/금액 기본 노출', '예산증가/정원증가 인과 단정']"
TR-005,한국도로공사 도로교통연구원,4차산업혁명에 따른 정부정책 대응 및 세부과제 마련,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"['proposal_key_personnel_record', 'person_card', 'methodology_context']",국토교통부,국토·SOC·교통·도시,central_public_corporation_group,strategy,['전략수립'],['strategy'],"['new_business_and_policy_response', 'policy_response_new_business']","['rd_specialized_research_institution', 'soc_transport_public_operator']","['infrastructure_operation', 'mobility', 'rd_governance', 'research', 'safety', 'specialized_function', 'technology', 'transport']",79,hero,"['central_policy_context', 'evaluation_group_sortable', 'future_mobility_soc', 'future_policy_or_sensitive_domain', 'official_personal_PM_proof', 'repeat_anchor_client']","['authority_halo', 'buyer_risk_reduction', 'domain_specific_confidence', 'evaluation_group_similarity', 'expertise_proof_personal_pm_certificate', 'person_level_trust', 'recognizable_anchor_institution', 'scarcity_of_domain_experience']","['R&D·전문기관', 'SOC·교통', '국토교통부', '대표 PM 공식증빙 가능', '전략수립', '중앙공기업']",True,True,True,hide_year_amount_prior_firm; separate company/person/formerCEO/context evidence layers; do not infer causality from impact metrics,한국도로공사 도로교통연구원 4차산업혁명에 따른 정부정책 대응 및 세부과제 마련 국토교통부 국토·SOC·교통·도시 strategy strategy new_business_and_policy_response|policy_response_new_business rd_specialized_research_institution|soc_transport_public_operator infrastructure_operation|mobility|rd_governance|research|safety|specialized_function|technology|transport central_public_corporation_group R&D·전문기관|SOC·교통|국토교통부|대표 PM 공식증빙 가능|전략수립|중앙공기업,"{'homepage': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'proposal': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'person_card': '김정성 대표컨설턴트 관련 수행경험'}","['㈜STRATEGY 회사실적으로 단정', '이전 회사명 노출', '연도/금액 기본 노출', '예산증가/정원증가 인과 단정']"
TR-006,한국보건산업진흥원,사회적 가치 실현 중장기 경영전략 및 경영혁신 계획 수립,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"['proposal_key_personnel_record', 'person_card', 'methodology_context']",보건복지부,보건·복지·사회서비스,central_quasi_government_or_public_agency_group,strategy,['전략수립'],['strategy'],"['esg_social_value_carbon', 'mid_long_term_strategy', 'public_value_esg']",['industry_promotion_agency'],"['contents_ip_support', 'industry_promotion', 'program_operation', 'startup_sme_support']",73,strong,"['central_policy_context', 'evaluation_group_sortable', 'health_welfare', 'official_personal_PM_proof', 'repeat_anchor_client']","['authority_halo', 'buyer_risk_reduction', 'category_fluency', 'evaluation_group_similarity', 'expertise_proof_personal_pm_certificate', 'person_level_trust', 'problem_similarity_bias', 'recognizable_anchor_institution']","['대표 PM 공식증빙 가능', '보건복지부', '산업진흥', '전략수립', '준정부기관']",True,True,True,hide_year_amount_prior_firm; separate company/person/formerCEO/context evidence layers; do not infer causality from impact metrics,한국보건산업진흥원 사회적 가치 실현 중장기 경영전략 및 경영혁신 계획 수립 보건복지부 보건·복지·사회서비스 strategy strategy esg_social_value_carbon|mid_long_term_strategy|public_value_esg industry_promotion_agency contents_ip_support|industry_promotion|program_operation|startup_sme_support central_quasi_government_or_public_agency_group 대표 PM 공식증빙 가능|보건복지부|산업진흥|전략수립|준정부기관,"{'homepage': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'proposal': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'person_card': '김정성 대표컨설턴트 관련 수행경험'}","['㈜STRATEGY 회사실적으로 단정', '이전 회사명 노출', '연도/금액 기본 노출', '예산증가/정원증가 인과 단정']"
TR-007,한국항공우주연구원,항우연 역할 재정립 및 조직 효율화 방안 연구,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"['proposal_key_personnel_record', 'person_card', 'methodology_context']",과학기술정보통신부,과학기술·R&D·디지털,rd_specialized_or_other_public_institution_group,organization_design,['조직진단·조직재설계'],['organization_design'],"['organization_diagnosis_redesign', 'research_org_and_specialized_function', 'research_specialized_function']",['rd_specialized_research_institution'],"['rd_governance', 'research', 'specialized_function', 'technology']",38,supporting,"['central_policy_context', 'evaluation_group_sortable', 'official_personal_PM_proof']","['buyer_risk_reduction', 'category_fluency', 'evaluation_group_similarity', 'expertise_proof_personal_pm_certificate', 'person_level_trust', 'problem_similarity_bias']","['R&D·전문기관', '과학기술정보통신부', '대표 PM 공식증빙 가능', '연구개발목적기관', '조직재설계']",True,True,True,hide_year_amount_prior_firm; separate company/person/formerCEO/context evidence layers; do not infer causality from impact metrics,한국항공우주연구원 항우연 역할 재정립 및 조직 효율화 방안 연구 과학기술정보통신부 과학기술·R&D·디지털 organization_design organization_design organization_diagnosis_redesign|research_org_and_specialized_function|research_specialized_function rd_specialized_research_institution rd_governance|research|specialized_function|technology rd_specialized_or_other_public_institution_group R&D·전문기관|과학기술정보통신부|대표 PM 공식증빙 가능|연구개발목적기관|조직재설계,"{'homepage': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'proposal': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'person_card': '김정성 대표컨설턴트 관련 수행경험'}","['㈜STRATEGY 회사실적으로 단정', '이전 회사명 노출', '연도/금액 기본 노출', '예산증가/정원증가 인과 단정']"
TR-008,한전원자력연료,전사 조직 인력 진단 컨설팅 용역,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"['proposal_key_personnel_record', 'person_card', 'methodology_context']",산업통상자원부,산업·에너지·안전,evaluation_group_unclassified,organization_design,['조직진단·조직재설계'],['organization_design'],['general_problem_solving'],['energy_nuclear_safety_institution'],"['energy', 'industrial_policy', 'nuclear', 'safety']",76,hero,"['central_policy_context', 'future_policy_or_sensitive_domain', 'nuclear_energy_safety', 'official_personal_PM_proof', 'repeat_anchor_client']","['authority_halo', 'domain_specific_confidence', 'expertise_proof_personal_pm_certificate', 'person_level_trust', 'recognizable_anchor_institution', 'scarcity_of_domain_experience']","['대표 PM 공식증빙 가능', '산업통상자원부', '원자력·에너지·안전', '조직재설계']",True,True,True,hide_year_amount_prior_firm; separate company/person/formerCEO/context evidence layers; do not infer causality from impact metrics,한전원자력연료 전사 조직 인력 진단 컨설팅 용역 산업통상자원부 산업·에너지·안전 organization_design organization_design general_problem_solving energy_nuclear_safety_institution energy|industrial_policy|nuclear|safety evaluation_group_unclassified 대표 PM 공식증빙 가능|산업통상자원부|원자력·에너지·안전|조직재설계,"{'homepage': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'proposal': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'person_card': '김정성 대표컨설턴트 관련 수행경험'}","['㈜STRATEGY 회사실적으로 단정', '이전 회사명 노출', '연도/금액 기본 노출', '예산증가/정원증가 인과 단정']"
TR-009,충북개발공사,충북개발공사 중장기 경영전략 수립 용역,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"['proposal_key_personnel_record', 'person_card', 'methodology_context']",지방자치단체,지방행정·지방공기업·지역정책,local_public_enterprise_or_facility_management_group,strategy,['전략수립'],['strategy'],['mid_long_term_strategy'],['urban_development_housing_corporation'],"['housing', 'land_development', 'regional_development', 'urban_development']",45,supporting,"['evaluation_group_sortable', 'official_personal_PM_proof', 'urban_development_corporation']","['buyer_risk_reduction', 'category_fluency', 'domain_specific_confidence', 'evaluation_group_similarity', 'expertise_proof_personal_pm_certificate', 'person_level_trust', 'problem_similarity_bias', 'scarcity_of_domain_experience']","['대표 PM 공식증빙 가능', '도시·개발공사', '전략수립', '지방공기업', '지방자치단체']",True,True,True,hide_year_amount_prior_firm; separate company/person/formerCEO/context evidence layers; do not infer causality from impact metrics,충북개발공사 충북개발공사 중장기 경영전략 수립 용역 지방자치단체 지방행정·지방공기업·지역정책 strategy strategy mid_long_term_strategy urban_development_housing_corporation housing|land_development|regional_development|urban_development local_public_enterprise_or_facility_management_group 대표 PM 공식증빙 가능|도시·개발공사|전략수립|지방공기업|지방자치단체,"{'homepage': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'proposal': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'person_card': '김정성 대표컨설턴트 관련 수행경험'}","['㈜STRATEGY 회사실적으로 단정', '이전 회사명 노출', '연도/금액 기본 노출', '예산증가/정원증가 인과 단정']"
TR-010,한국지역정보개발원,한국지역정보개발원 중장기 경영전략 및 조직진단 컨설팅,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"['proposal_key_personnel_record', 'person_card', 'methodology_context']",국토교통부,국토·SOC·교통·도시,evaluation_group_unclassified,strategy,"['전략수립', '조직진단·조직재설계']","['organization_design', 'strategy']","['mid_long_term_strategy', 'organization_diagnosis_redesign']",['promotion_agency'],[],64,strong,"['central_policy_context', 'official_personal_PM_proof', 'repeat_anchor_client', 'strategy_to_organization_integrated']","['category_fluency', 'expertise_proof_personal_pm_certificate', 'person_level_trust', 'problem_similarity_bias', 'sein_sollen_integrated_design', 'systemic_problem_solving']","['국토교통부', '대표 PM 공식증빙 가능', '전략수립', '조직재설계']",True,True,True,hide_year_amount_prior_firm; separate company/person/formerCEO/context evidence layers; do not infer causality from impact metrics,한국지역정보개발원 한국지역정보개발원 중장기 경영전략 및 조직진단 컨설팅 국토교통부 국토·SOC·교통·도시 strategy organization_design|strategy mid_long_term_strategy|organization_diagnosis_redesign promotion_agency evaluation_group_unclassified 국토교통부|대표 PM 공식증빙 가능|전략수립|조직재설계,"{'homepage': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'proposal': '대표 컨설턴트 PM 수행경험 / 개인 실적증명 가능', 'person_card': '김정성 대표컨설턴트 관련 수행경험'}","['㈜STRATEGY 회사실적으로 단정', '이전 회사명 노출', '연도/금액 기본 노출', '예산증가/정원증가 인과 단정']"
