record_id,client_public,client_public_label,public_client_allowed,public_case_code,institution_class_label,project_title_public,case_title_public,person_id,role_public,proof_bucket,evidence_layer,evidence_score,proof_public_label_v10,visibility_policy,company_record_allowed,key_personnel_record_allowed,allowed_contexts,canonical_ministry,ministry_family,evaluation_group,primary_theme,theme_buckets_kr,themes_raw,problem_archetypes,institution_classes,function_models,representative_score_base_v7,representative_priority,hero_tags,appeal_triggers,homepage_badges,hide_year_by_default,hide_amount_by_default,hide_previous_company_by_default,public_projection,safe_display_rule_v10,rfp_search_text,safe_claim_templates,guardrail_tags
TR-001,도시·개발공사 A사,도시·개발공사 A사,False,A사,도시·개발공사,도시·개발공사 전략수립·조직진단·조직재설계 수행경험,도시·개발공사 전략수립·조직진단·조직재설계 수행경험,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"[""proposal_key_personnel_record"", ""person_card"", ""methodology_context""]",지방자치단체,지방행정·지방공기업·지역정책,local_public_enterprise_or_facility_management_group,strategy,"[""전략수립"", ""조직진단·조직재설계""]","[""organization_design"", ""strategy""]","[""mid_long_term_strategy"", ""organization_diagnosis_redesign""]","[""urban_development_housing_corporation""]","[""housing"", ""land_development"", ""regional_development"", ""urban_development""]",63,strong,"[""evaluation_group_sortable"", ""official_personal_PM_proof"", ""strategy_to_organization_integrated"", ""urban_development_corporation""]","[""buyer_risk_reduction"", ""category_fluency"", ""domain_specific_confidence"", ""evaluation_group_similarity"", ""expertise_proof_personal_pm_certificate"", ""person_level_trust"", ""problem_similarity_bias"", ""scarcity_of_domain_experience"", ""sein_sollen_integrated_design"", ""systemic_problem_solving""]","[""도시·개발공사"", ""전략수립"", ""조직재설계"", ""지방공기업"", ""지방자치단체""]",True,True,True,True,"public_safe_projection; hide raw institution, date, amount, prior firm; avoid causal impact claims",도시·개발공사 A사 도시·개발공사 전략수립·조직진단·조직재설계 수행경험 지방자치단체 지방행정·지방공기업·지역정책 local_public_enterprise_or_facility_management_group strategy 도시·개발공사 전략수립 전략수립 조직진단·조직재설계 organization_design strategy mid_long_term_strategy organization_diagnosis_redesign urban_development_housing_corporation housing land_development regional_development urban_development 도시·개발공사 전략수립 조직재설계 지방공기업 지방자치단체 evaluation_group_sortable official_personal_PM_proof strategy_to_organization_integrated urban_development_corporation,"{""homepage"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""proposal"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""person_card"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능""}","[""public-safe"", ""masked-client"", ""evidence-layered""]"
TR-002,민간기업/플랫폼 참고실적 A사,민간기업/플랫폼 참고실적 A사,False,A사,민간기업/플랫폼 참고실적,민간기업/플랫폼 참고실적 전략수립·조직진단·조직재설계 수행경험,민간기업/플랫폼 참고실적 전략수립·조직진단·조직재설계 수행경험,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"[""proposal_key_personnel_record"", ""person_card"", ""methodology_context""]",지방자치단체,지방행정·지방공기업·지역정책,non_public_private_reference,strategy,"[""전략수립"", ""조직진단·조직재설계""]","[""organization_design"", ""strategy""]","[""mid_long_term_strategy"", ""new_business_and_policy_response"", ""policy_response_new_business""]","[""private_corporate_or_platform""]","[""corporate_hr"", ""platform_business"", ""private_strategy""]",48,supporting,"[""evaluation_group_sortable"", ""official_personal_PM_proof"", ""strategy_to_organization_integrated""]","[""buyer_risk_reduction"", ""category_fluency"", ""evaluation_group_similarity"", ""expertise_proof_personal_pm_certificate"", ""person_level_trust"", ""problem_similarity_bias"", ""sein_sollen_integrated_design"", ""systemic_problem_solving""]","[""민간기업/플랫폼 참고실적"", ""전략수립"", ""조직재설계"", ""지방자치단체""]",True,True,True,True,"public_safe_projection; hide raw institution, date, amount, prior firm; avoid causal impact claims",민간기업/플랫폼 참고실적 A사 민간기업/플랫폼 참고실적 전략수립·조직진단·조직재설계 수행경험 지방자치단체 지방행정·지방공기업·지역정책 non_public_private_reference strategy 민간기업/플랫폼 참고실적 전략수립 전략수립 조직진단·조직재설계 organization_design strategy mid_long_term_strategy new_business_and_policy_response policy_response_new_business private_corporate_or_platform corporate_hr platform_business private_strategy 민간기업/플랫폼 참고실적 전략수립 조직재설계 지방자치단체 evaluation_group_sortable official_personal_PM_proof strategy_to_organization_integrated,"{""homepage"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""proposal"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""person_card"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능""}","[""public-safe"", ""masked-client"", ""evidence-layered""]"
TR-003,기획재정부 A사,기획재정부 A사,False,A사,기획재정부,기획재정부 전략수립 수행경험,기획재정부 전략수립 수행경험,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"[""proposal_key_personnel_record"", ""person_card"", ""methodology_context""]",기획재정부,재정·공공기관·정책금융,central_quasi_government_or_public_agency_group,strategy,"[""전략수립""]","[""strategy""]","[""mid_long_term_strategy"", ""vision_mission_value_system""]","[""policy_finance_guarantee_institution""]","[""credit_support"", ""funding"", ""guarantee"", ""policy_finance""]",53,supporting,"[""central_policy_context"", ""evaluation_group_sortable"", ""official_personal_PM_proof"", ""policy_guarantee_finance""]","[""authority_halo"", ""buyer_risk_reduction"", ""category_fluency"", ""domain_specific_confidence"", ""evaluation_group_similarity"", ""expertise_proof_personal_pm_certificate"", ""person_level_trust"", ""problem_similarity_bias"", ""recognizable_anchor_institution"", ""scarcity_of_domain_experience""]","[""기획재정부"", ""전략수립"", ""정책금융·보증"", ""준정부기관""]",True,True,True,True,"public_safe_projection; hide raw institution, date, amount, prior firm; avoid causal impact claims",기획재정부 A사 기획재정부 전략수립 수행경험 기획재정부 재정·공공기관·정책금융 central_quasi_government_or_public_agency_group strategy 기획재정부 전략수립 전략수립 strategy mid_long_term_strategy vision_mission_value_system policy_finance_guarantee_institution credit_support funding guarantee policy_finance 기획재정부 전략수립 정책금융·보증 준정부기관 central_policy_context evaluation_group_sortable official_personal_PM_proof policy_guarantee_finance,"{""homepage"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""proposal"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""person_card"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능""}","[""public-safe"", ""masked-client"", ""evidence-layered""]"
TR-004,국토교통부 A사,국토교통부 A사,False,A사,국토교통부,국토교통부 직무·HR·보수체계 수행경험,국토교통부 직무·HR·보수체계 수행경험,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"[""proposal_key_personnel_record"", ""person_card"", ""methodology_context""]",국토교통부,국토·SOC·교통·도시,evaluation_group_unclassified,hr_system,"[""직무·HR·보수체계""]","[""hr_system""]","[""compensation_system"", ""job_based_hr_and_compensation""]","[""promotion_agency""]",[],56,strong,"[""central_policy_context"", ""hr_system_proof"", ""official_personal_PM_proof"", ""repeat_anchor_client""]","[""expertise_proof_personal_pm_certificate"", ""person_level_trust""]","[""국토교통부"", ""인사관리"", ""직무·HR·보수체계""]",True,True,True,True,"public_safe_projection; hide raw institution, date, amount, prior firm; avoid causal impact claims",국토교통부 A사 국토교통부 직무·HR·보수체계 수행경험 국토교통부 국토·SOC·교통·도시 evaluation_group_unclassified hr_system 국토교통부 직무·HR·보수체계 직무·HR·보수체계 hr_system compensation_system job_based_hr_and_compensation promotion_agency 국토교통부 인사관리 직무·HR·보수체계 central_policy_context hr_system_proof official_personal_PM_proof repeat_anchor_client,"{""homepage"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""proposal"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""person_card"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능""}","[""public-safe"", ""masked-client"", ""evidence-layered""]"
TR-005,R&D·전문기관 A사,R&D·전문기관 A사,False,A사,R&D·전문기관,R&D·전문기관 전략수립 수행경험,R&D·전문기관 전략수립 수행경험,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"[""proposal_key_personnel_record"", ""person_card"", ""methodology_context""]",국토교통부,국토·SOC·교통·도시,central_public_corporation_group,strategy,"[""전략수립""]","[""strategy""]","[""new_business_and_policy_response"", ""policy_response_new_business""]","[""rd_specialized_research_institution"", ""soc_transport_public_operator""]","[""infrastructure_operation"", ""mobility"", ""rd_governance"", ""research"", ""safety"", ""specialized_function"", ""technology"", ""transport""]",79,hero,"[""central_policy_context"", ""evaluation_group_sortable"", ""future_mobility_soc"", ""future_policy_or_sensitive_domain"", ""official_personal_PM_proof"", ""repeat_anchor_client""]","[""authority_halo"", ""buyer_risk_reduction"", ""domain_specific_confidence"", ""evaluation_group_similarity"", ""expertise_proof_personal_pm_certificate"", ""person_level_trust"", ""recognizable_anchor_institution"", ""scarcity_of_domain_experience""]","[""R&D·전문기관"", ""SOC·교통"", ""국토교통부"", ""전략수립"", ""중앙공기업""]",True,True,True,True,"public_safe_projection; hide raw institution, date, amount, prior firm; avoid causal impact claims",R&D·전문기관 A사 R&D·전문기관 전략수립 수행경험 국토교통부 국토·SOC·교통·도시 central_public_corporation_group strategy R&D·전문기관 전략수립 전략수립 strategy new_business_and_policy_response policy_response_new_business rd_specialized_research_institution soc_transport_public_operator infrastructure_operation mobility rd_governance research safety specialized_function technology transport R&D·전문기관 SOC·교통 국토교통부 전략수립 중앙공기업 central_policy_context evaluation_group_sortable future_mobility_soc future_policy_or_sensitive_domain official_personal_PM_proof repeat_anchor_client,"{""homepage"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""proposal"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""person_card"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능""}","[""public-safe"", ""masked-client"", ""evidence-layered""]"
TR-006,보건복지부 A사,보건복지부 A사,False,A사,보건복지부,보건복지부 전략수립 수행경험,보건복지부 전략수립 수행경험,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"[""proposal_key_personnel_record"", ""person_card"", ""methodology_context""]",보건복지부,보건·복지·사회서비스,central_quasi_government_or_public_agency_group,strategy,"[""전략수립""]","[""strategy""]","[""esg_social_value_carbon"", ""mid_long_term_strategy"", ""public_value_esg""]","[""industry_promotion_agency""]","[""contents_ip_support"", ""industry_promotion"", ""program_operation"", ""startup_sme_support""]",73,strong,"[""central_policy_context"", ""evaluation_group_sortable"", ""health_welfare"", ""official_personal_PM_proof"", ""repeat_anchor_client""]","[""authority_halo"", ""buyer_risk_reduction"", ""category_fluency"", ""evaluation_group_similarity"", ""expertise_proof_personal_pm_certificate"", ""person_level_trust"", ""problem_similarity_bias"", ""recognizable_anchor_institution""]","[""보건복지부"", ""산업진흥"", ""전략수립"", ""준정부기관""]",True,True,True,True,"public_safe_projection; hide raw institution, date, amount, prior firm; avoid causal impact claims",보건복지부 A사 보건복지부 전략수립 수행경험 보건복지부 보건·복지·사회서비스 central_quasi_government_or_public_agency_group strategy 보건복지부 전략수립 전략수립 strategy esg_social_value_carbon mid_long_term_strategy public_value_esg industry_promotion_agency contents_ip_support industry_promotion program_operation startup_sme_support 보건복지부 산업진흥 전략수립 준정부기관 central_policy_context evaluation_group_sortable health_welfare official_personal_PM_proof repeat_anchor_client,"{""homepage"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""proposal"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""person_card"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능""}","[""public-safe"", ""masked-client"", ""evidence-layered""]"
TR-007,R&D·전문기관 B사,R&D·전문기관 B사,False,B사,R&D·전문기관,R&D·전문기관 조직진단·조직재설계 수행경험,R&D·전문기관 조직진단·조직재설계 수행경험,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"[""proposal_key_personnel_record"", ""person_card"", ""methodology_context""]",과학기술정보통신부,과학기술·R&D·디지털,rd_specialized_or_other_public_institution_group,organization_design,"[""조직진단·조직재설계""]","[""organization_design""]","[""organization_diagnosis_redesign"", ""research_org_and_specialized_function"", ""research_specialized_function""]","[""rd_specialized_research_institution""]","[""rd_governance"", ""research"", ""specialized_function"", ""technology""]",38,supporting,"[""central_policy_context"", ""evaluation_group_sortable"", ""official_personal_PM_proof""]","[""buyer_risk_reduction"", ""category_fluency"", ""evaluation_group_similarity"", ""expertise_proof_personal_pm_certificate"", ""person_level_trust"", ""problem_similarity_bias""]","[""R&D·전문기관"", ""과학기술정보통신부"", ""연구개발목적기관"", ""조직재설계"", ""조직진단·조직재설계""]",True,True,True,True,"public_safe_projection; hide raw institution, date, amount, prior firm; avoid causal impact claims",R&D·전문기관 B사 R&D·전문기관 조직진단·조직재설계 수행경험 과학기술정보통신부 과학기술·R&D·디지털 rd_specialized_or_other_public_institution_group organization_design R&D·전문기관 조직진단·조직재설계 조직진단·조직재설계 organization_design organization_diagnosis_redesign research_org_and_specialized_function research_specialized_function rd_specialized_research_institution rd_governance research specialized_function technology R&D·전문기관 과학기술정보통신부 연구개발목적기관 조직재설계 조직진단·조직재설계 central_policy_context evaluation_group_sortable official_personal_PM_proof,"{""homepage"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""proposal"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""person_card"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능""}","[""public-safe"", ""masked-client"", ""evidence-layered""]"
TR-008,산업통상자원부 A사,산업통상자원부 A사,False,A사,산업통상자원부,산업통상자원부 조직진단·조직재설계 수행경험,산업통상자원부 조직진단·조직재설계 수행경험,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"[""proposal_key_personnel_record"", ""person_card"", ""methodology_context""]",산업통상자원부,산업·에너지·안전,evaluation_group_unclassified,organization_design,"[""조직진단·조직재설계""]","[""organization_design""]","[""general_problem_solving""]","[""energy_nuclear_safety_institution""]","[""energy"", ""industrial_policy"", ""nuclear"", ""safety""]",76,hero,"[""central_policy_context"", ""future_policy_or_sensitive_domain"", ""nuclear_energy_safety"", ""official_personal_PM_proof"", ""repeat_anchor_client""]","[""authority_halo"", ""domain_specific_confidence"", ""expertise_proof_personal_pm_certificate"", ""person_level_trust"", ""recognizable_anchor_institution"", ""scarcity_of_domain_experience""]","[""산업통상자원부"", ""원자력·에너지·안전"", ""조직재설계"", ""조직진단·조직재설계""]",True,True,True,True,"public_safe_projection; hide raw institution, date, amount, prior firm; avoid causal impact claims",산업통상자원부 A사 산업통상자원부 조직진단·조직재설계 수행경험 산업통상자원부 산업·에너지·안전 evaluation_group_unclassified organization_design 산업통상자원부 조직진단·조직재설계 조직진단·조직재설계 organization_design general_problem_solving energy_nuclear_safety_institution energy industrial_policy nuclear safety 산업통상자원부 원자력·에너지·안전 조직재설계 조직진단·조직재설계 central_policy_context future_policy_or_sensitive_domain nuclear_energy_safety official_personal_PM_proof repeat_anchor_client,"{""homepage"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""proposal"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""person_card"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능""}","[""public-safe"", ""masked-client"", ""evidence-layered""]"
TR-009,도시·개발공사 B사,도시·개발공사 B사,False,B사,도시·개발공사,도시·개발공사 전략수립 수행경험,도시·개발공사 전략수립 수행경험,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"[""proposal_key_personnel_record"", ""person_card"", ""methodology_context""]",지방자치단체,지방행정·지방공기업·지역정책,local_public_enterprise_or_facility_management_group,strategy,"[""전략수립""]","[""strategy""]","[""mid_long_term_strategy""]","[""urban_development_housing_corporation""]","[""housing"", ""land_development"", ""regional_development"", ""urban_development""]",45,supporting,"[""evaluation_group_sortable"", ""official_personal_PM_proof"", ""urban_development_corporation""]","[""buyer_risk_reduction"", ""category_fluency"", ""domain_specific_confidence"", ""evaluation_group_similarity"", ""expertise_proof_personal_pm_certificate"", ""person_level_trust"", ""problem_similarity_bias"", ""scarcity_of_domain_experience""]","[""도시·개발공사"", ""전략수립"", ""지방공기업"", ""지방자치단체""]",True,True,True,True,"public_safe_projection; hide raw institution, date, amount, prior firm; avoid causal impact claims",도시·개발공사 B사 도시·개발공사 전략수립 수행경험 지방자치단체 지방행정·지방공기업·지역정책 local_public_enterprise_or_facility_management_group strategy 도시·개발공사 전략수립 전략수립 strategy mid_long_term_strategy urban_development_housing_corporation housing land_development regional_development urban_development 도시·개발공사 전략수립 지방공기업 지방자치단체 evaluation_group_sortable official_personal_PM_proof urban_development_corporation,"{""homepage"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""proposal"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""person_card"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능""}","[""public-safe"", ""masked-client"", ""evidence-layered""]"
TR-010,국토교통부 B사,국토교통부 B사,False,B사,국토교통부,국토교통부 전략수립·조직진단·조직재설계 수행경험,국토교통부 전략수립·조직진단·조직재설계 수행경험,kim_jungsung,PM,B_PERSONAL_PM_OFFICIAL_PROOF_NOT_COMPANY_RECORD,L2_KEY_PERSON_PM_OFFICIAL,85,대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능,proposal_key_personnel_and_person_profile,False,True,"[""proposal_key_personnel_record"", ""person_card"", ""methodology_context""]",국토교통부,국토·SOC·교통·도시,evaluation_group_unclassified,strategy,"[""전략수립"", ""조직진단·조직재설계""]","[""organization_design"", ""strategy""]","[""mid_long_term_strategy"", ""organization_diagnosis_redesign""]","[""promotion_agency""]",[],64,strong,"[""central_policy_context"", ""official_personal_PM_proof"", ""repeat_anchor_client"", ""strategy_to_organization_integrated""]","[""category_fluency"", ""expertise_proof_personal_pm_certificate"", ""person_level_trust"", ""problem_similarity_bias"", ""sein_sollen_integrated_design"", ""systemic_problem_solving""]","[""국토교통부"", ""전략수립"", ""조직재설계""]",True,True,True,True,"public_safe_projection; hide raw institution, date, amount, prior firm; avoid causal impact claims",국토교통부 B사 국토교통부 전략수립·조직진단·조직재설계 수행경험 국토교통부 국토·SOC·교통·도시 evaluation_group_unclassified strategy 국토교통부 전략수립 전략수립 조직진단·조직재설계 organization_design strategy mid_long_term_strategy organization_diagnosis_redesign promotion_agency 국토교통부 전략수립 조직재설계 central_policy_context official_personal_PM_proof repeat_anchor_client strategy_to_organization_integrated,"{""homepage"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""proposal"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능"", ""person_card"": ""대표 컨설턴트 PM 수행경험/ 개인 실적증명 가능""}","[""public-safe"", ""masked-client"", ""evidence-layered""]"
